epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,323.7,0.74465,1.28515,0.73858,1.03426,0.82352,0.84444,0.84908,0.6873,0.82352,0.84444,0.84108,0.6169,0.77244,1.98364,0.66756,1.09769,0.0010694,0.0010694,0.0010694
49,330.309,0.76957,1.31484,0.75325,1.02705,0.86458,0.85126,0.87146,0.71995,0.87202,0.85803,0.88251,0.66013,0.80959,1.79079,0.68967,1.11867,0.0010496,0.0010496,0.0010496
50,336.996,0.72839,1.20931,0.8251,0.98333,0.88086,0.82147,0.87879,0.71822,0.88086,0.82147,0.86757,0.65279,0.78823,1.8889,0.64557,1.09424,0.0010298,0.0010298,0.0010298
51,343.533,0.77991,1.2526,0.75162,1.0278,0.80638,0.89467,0.86369,0.68325,0.79971,0.88726,0.84053,0.61863,0.81563,1.9405,0.66143,1.11181,0.00101,0.00101,0.00101
52,350.12,0.74171,1.28722,0.75861,0.99318,0.82563,0.87407,0.85753,0.68813,0.82563,0.87407,0.84109,0.62226,0.75042,1.98481,0.68474,1.07464,0.0009902,0.0009902,0.0009902
53,356.619,0.79911,1.32051,0.74725,1.0455,0.81227,0.86538,0.83956,0.67902,0.81227,0.86538,0.83875,0.60283,0.82623,2.02804,0.74034,1.15115,0.0009704,0.0009704,0.0009704
54,363.404,0.76662,1.28657,0.81845,1.04458,0.84989,0.85926,0.85385,0.71359,0.84989,0.85926,0.85001,0.64535,0.74583,1.86098,0.70225,1.07071,0.0009506,0.0009506,0.0009506
55,370.219,0.73309,1.25421,0.73292,0.99751,0.83665,0.87265,0.8441,0.678,0.82248,0.85802,0.81579,0.58585,0.80064,2.13087,0.6809,1.10725,0.0009308,0.0009308,0.0009308
56,377.172,0.75221,1.23378,0.7478,1.04357,0.83427,0.8949,0.87937,0.69054,0.81982,0.88148,0.85917,0.61365,0.78092,1.97391,0.65029,1.08803,0.000911,0.000911,0.000911
57,383.966,0.72444,1.2404,0.72094,1.00406,0.81262,0.92593,0.88112,0.70859,0.79962,0.91111,0.85644,0.64139,0.76529,1.97181,0.60726,1.08849,0.0008912,0.0008912,0.0008912
58,390.617,0.76179,1.24047,0.77929,1.02792,0.83533,0.84444,0.85706,0.68975,0.82012,0.82963,0.81602,0.59341,0.74241,2.17629,0.76466,1.08537,0.0008714,0.0008714,0.0008714
59,397.501,0.8104,1.33924,0.70826,1.09488,0.82653,0.88148,0.87365,0.71575,0.8158,0.87407,0.85733,0.6254,0.72657,2.02303,0.63347,1.06479,0.0008516,0.0008516,0.0008516
60,404.487,0.67321,1.11538,0.68938,0.95492,0.80194,0.89979,0.88652,0.70993,0.80854,0.90719,0.89162,0.64433,0.73865,1.85316,0.63015,1.07116,0.0008318,0.0008318,0.0008318
61,411.39,0.75702,1.30569,0.73746,1.04347,0.86131,0.82804,0.8673,0.68544,0.84859,0.82222,0.85071,0.61131,0.79586,1.8433,0.66214,1.113,0.000812,0.000812,0.000812
62,418.126,0.71727,1.28121,0.70649,0.99323,0.84112,0.84444,0.89113,0.71357,0.82599,0.82963,0.86406,0.64829,0.79018,1.99598,0.62719,1.12362,0.0007922,0.0007922,0.0007922
63,424.976,0.68825,1.18489,0.76672,0.96574,0.86874,0.83345,0.87882,0.7042,0.86102,0.82604,0.86035,0.62961,0.78417,2.07964,0.65028,1.12778,0.0007724,0.0007724,0.0007724
64,431.971,0.7,1.25313,0.65986,0.99851,0.80984,0.85926,0.86731,0.70825,0.83243,0.84634,0.87373,0.63386,0.73437,1.80221,0.66368,1.08609,0.0007526,0.0007526,0.0007526
65,438.697,0.67961,1.17834,0.64835,0.98894,0.83267,0.86667,0.85759,0.68578,0.82556,0.85926,0.83819,0.61524,0.7663,2.02985,0.60963,1.09707,0.0007328,0.0007328,0.0007328
66,445.298,0.688,1.20563,0.68443,0.9939,0.83276,0.87407,0.86484,0.71179,0.84774,0.86609,0.86541,0.63967,0.75876,2.03588,0.61157,1.08333,0.000713,0.000713,0.000713
67,452.099,0.72065,1.2195,0.67473,1.00325,0.81715,0.89381,0.86817,0.7159,0.80361,0.879,0.85114,0.65504,0.75199,1.94025,0.61529,1.10045,0.0006932,0.0006932,0.0006932
68,458.927,0.68169,1.18966,0.66361,0.97763,0.82999,0.87407,0.87716,0.71041,0.8225,0.86667,0.86342,0.66044,0.7409,1.94719,0.59889,1.05499,0.0006734,0.0006734,0.0006734
69,465.639,0.68472,1.16044,0.6326,0.97564,0.80562,0.85926,0.86144,0.69096,0.79914,0.85468,0.84314,0.62505,0.74006,2.16443,0.60338,1.06562,0.0006536,0.0006536,0.0006536
70,472.414,0.71882,1.2193,0.64963,1.02073,0.83915,0.83704,0.86325,0.71319,0.83129,0.82963,0.84654,0.63541,0.73658,2.04892,0.61135,1.06192,0.0006338,0.0006338,0.0006338
71,479.067,0.69278,1.19382,0.6505,0.98105,0.84617,0.85569,0.86679,0.70351,0.83885,0.84828,0.85013,0.63305,0.76268,2.10816,0.57781,1.10002,0.000614,0.000614,0.000614
72,485.764,0.67272,1.23341,0.67453,0.97787,0.87027,0.85185,0.8604,0.70183,0.85354,0.8634,0.85738,0.63849,0.72827,1.96513,0.60761,1.07905,0.0005942,0.0005942,0.0005942
73,492.311,0.66331,1.14044,0.62482,0.97718,0.84683,0.9037,0.86209,0.69842,0.83989,0.8963,0.8459,0.62582,0.74808,1.95441,0.59448,1.07791,0.0005744,0.0005744,0.0005744
74,498.819,0.68621,1.16995,0.66983,0.99096,0.83163,0.88889,0.86249,0.71988,0.837,0.88889,0.85496,0.64228,0.71649,1.91514,0.57291,1.07058,0.0005546,0.0005546,0.0005546
75,505.387,0.69072,1.2291,0.64094,0.98157,0.83838,0.84444,0.86171,0.70232,0.83102,0.83704,0.84354,0.63414,0.69924,1.82614,0.61016,1.05361,0.0005348,0.0005348,0.0005348
76,511.934,0.64292,1.08856,0.7969,0.9464,0.86038,0.85185,0.87305,0.70559,0.84519,0.83704,0.8388,0.63211,0.73528,2.08872,0.60345,1.07849,0.000515,0.000515,0.000515
77,518.419,0.63067,1.09045,0.63153,0.94487,0.89642,0.83337,0.87435,0.71376,0.83552,0.86667,0.84212,0.6434,0.71928,2.1241,0.57961,1.07164,0.0004952,0.0004952,0.0004952
78,525.043,0.67582,1.14618,0.64265,0.97303,0.85924,0.85909,0.87324,0.7195,0.85198,0.85275,0.85012,0.64423,0.74832,2.06983,0.62916,1.11889,0.0004754,0.0004754,0.0004754
